url;pelmorex_id;name;province;coords
https://www.eltiempo.es/quinzan.html;ESXX11638;QuinzÃ¡n;A Coruña;(42.8609127, -8.030878)
https://www.eltiempo.es/cabanude.html;ESXX9881;Cabanude;A Coruña;(42.8992999, -9.0834114)
https://www.eltiempo.es/lens.html;ESXX13543;Lens;A Coruña;(42.9100405, -8.6841501)
https://www.eltiempo.es/mazaricos.html;ESXX7891;Mazaricos;A Coruña;(42.9364002, -8.9904506)
https://www.eltiempo.es/cesullas.html;ESXX10080;Cesullas;A Coruña;(43.2123014, -8.91378437181572)
https://www.eltiempo.es/ninan.html;ESXX11293;NiÃ±Ã¡n;A Coruña;(42.9894974, -8.9756916)
https://www.eltiempo.es/barreira.html;ESXX13050;Barreira;A Coruña;(42.8322951, -8.4867463)
https://www.eltiempo.es/castraron.html;ESXX10020;CastrarÃ³n;A Coruña;(43.0074675, -8.9906746)
https://www.eltiempo.es/currais.html;ESXX10239;Currais;A Coruña;(42.9755266, -8.4946459)
https://www.eltiempo.es/a-coruna/puerto.html;ESXX11596;Puerto;A Coruña;(43.7726007, -7.6696466)
https://www.eltiempo.es/boiro.html;ESXX1275;Boiro;A Coruña;(42.6462941, -8.8858718)
https://www.eltiempo.es/castrofeito.html;ESXX10030;Castrofeito;A Coruña;(42.9188265, -8.3995528)
https://www.eltiempo.es/a-coruna/monteagudo.html;ESXX11205;Monteagudo;A Coruña;(42.769417, -8.7970098)
https://www.eltiempo.es/caldebarcos.html;ESXX7890;Caldebarcos;A Coruña;(42.8520929, -9.1214521)
https://www.eltiempo.es/montesalgueiro.html;ESXX3623;Montesalgueiro;A Coruña;(43.2108562, -8.0522066)
https://www.eltiempo.es/ana.html;ESXX9482;AÃ±Ã¡;A Coruña;(43.0126058, -8.2090135)
https://www.eltiempo.es/marantes.html;ESXX11076;Marantes;A Coruña;(42.9526273, -8.4624054)
https://www.eltiempo.es/viceso.html;ESXX12336;Viceso;A Coruña;(42.8680088, -8.737978)
https://www.eltiempo.es/gastrar.html;ESXX13408;Gastrar;A Coruña;(42.8456232, -8.4157682)
https://www.eltiempo.es/fiopans.html;ESXX10463;FiopÃ¡ns;A Coruña;(42.9336749, -8.7013893)
https://www.eltiempo.es/a-coruna/san-roque.html;ESXX1308;San Roque;A Coruña;(43.6920118, -7.8923132)
https://www.eltiempo.es/ribasar.html;ESXX11720;Ribasar;A Coruña;(42.808472, -8.6511444)
https://www.eltiempo.es/trobe.html;ESXX12225;Trobe;A Coruña;(42.7667094, -8.500634)
https://www.eltiempo.es/casas-novas.html;ESXX9997;Casas Novas;A Coruña;(42.9902336, -8.3167848)
https://www.eltiempo.es/orbellido.html;ESXX13752;Orbellido;A Coruña;(43.01943, -8.9929992)
